GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Parcela;Mes Referencia ;Tipo Receita; Premio Bruto ;% Receita para XIPP;Receita Bruta da Corretora XIPP;  % Impostos retidos;Impostos retidos;Receita recebida pela Corretora XIPP;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar 
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;03.636.724/0001-14;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 838,17 ;0,15; R$ 125,73 ; 0,04 ; R$ 4,40 ; R$ 121,33 ;0,1425;17,28882782;104,0362797;0,1;10,40362797
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.895.152/0001-25;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 424,31 ;0,15; R$ 63,65 ; 0,04 ; R$ 2,23 ; R$ 61,42 ;0,1425;8,752189331;52,66668317;0,1;5,266668317
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.292.655/0001-06;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 599,44 ;0,15; R$ 89,92 ; 0,04 ; R$ 3,15 ; R$ 86,77 ;0,1425;12,36457395;74,40436605;0,1;7,440436605
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.292.653/0001-17;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 514,14 ;0,15; R$ 77,12 ; 0,04 ; R$ 2,70 ; R$ 74,42 ;0,1425;10,60510151;63,81666349;0,1;6,381666349
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.292.657/0001-03;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 701,42 ;0,15; R$ 105,21 ; 0,04 ; R$ 3,68 ; R$ 101,53 ;0,1425;14,46810266;87,06244234;0,1;8,706244234
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.748.357/0001-88;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 1.149,68 ;0,15; R$ 172,45 ; 0,04 ; R$ 6,04 ; R$ 166,42 ;0,1425;23,71430565;142,7018744;0,1;14,27018744
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.748.342/0004-62;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 548,63 ;0,15; R$ 82,29 ; 0,04 ; R$ 2,88 ; R$ 79,41 ;0,1425;11,31652243;68,09767007;0,1;6,809767007
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;54.213.764/0102-38;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 1.904,93 ;0,15; R$ 285,74 ; 0,04 ; R$ 10,00 ; R$ 275,74 ;0,1425;39,29275299;236,4458645;0,1;23,64458645
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;42.377.221/0001-23;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 1.490,16 ;0,15; R$ 223,52 ; 0,04 ; R$ 7,82 ; R$ 215,70 ;0,1425;30,73734405;184,963316;0,1;18,4963316
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;14.294.395/0002-78;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 369,49 ;0,15; R$ 55,42 ; 0,04 ; R$ 1,94 ; R$ 53,48 ;0,1425;7,621424044;45,86225346;0,1;4,586225346
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;37.041.584/0004-04;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 661,44 ;0,15; R$ 99,22 ; 0,04 ; R$ 3,47 ; R$ 95,74 ;0,1425;13,6434402;82,0999998;0,1;8,20999998
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Omnilink;03.585.974/0001-72;Zurich Minas Brasil Seguros;Vida;9,00;10/2023;Comissão; R$ 502,63 ;10; R$ 50,26 ; 2,00 ; R$ 1,01 ; R$ 49,25 ;14,25;7,02;42,23;10;4,23
Mahogany;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Mahogany;28.269.178/0001-51;Sul América Companhia de Seguro Saúde;Odonto;12,00;11/2023;Comissão; R$ 1.625,40 ;10; R$ 162,54 ; 3,50 ; R$ 5,69 ; R$ 156,85 ;14,25;22,35;134,5;10;13,45
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Omnilink;03.585.974/0001-72;Zurich Minas Brasil Seguros;Vida;9,00;10/2023;Comissão; R$ 2.409,38 ;10; R$ 240,94 ; 2,00 ; R$ 4,82 ; R$ 236,12 ;14,25;33,65;202,47;10;20,24
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Omnilink;03.585.974/0001-72;Zurich Minas Brasil Seguros;Vida;9,00;10/2023;Comissão; R$ 14,66 ;10; R$ 1,47 ; 2,00 ; R$ 0,03 ; R$ 1,44 ;14,25;0,21;1,23;10;0,13
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Listo;20.250.105/0001-06;Amil Assistência Médica Internacional S.A.;Odonto;5,00;11/2023;Comissão; R$ 554,58 ;10; R$ 55,46 ; 1,50 ; R$ 0,83 ; R$ 54,63 ;14,25;7,78;46,85;10;4,69
Ceabs;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Ceabs;14.117.458/0001-30;Amil Assistência Médica Internacional S.A.;Saúde;11,00;10/2023;Comissão; R$ 80.131,39 ;5; R$ 4.006,57 ; 1,50 ; R$ 60,10 ; R$ 3.946,47 ;14,25;562,37;3384,1;10;338,41
Ceabs;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Ceabs;14.117.458/0001-30;Amil Assistência Médica Internacional S.A.;Odonto;11,00;10/2023;Comissão; R$ 4.978,14 ;10; R$ 497,81 ; 1,50 ; R$ 7,47 ; R$ 490,34 ;14,25;69,87;420,47;10;42,05
Ceabs;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Ceabs;14.117.458/0001-30;Prudential;Vida;9,00;11/2023;Comissão; R$ 1.442,69 ;30; R$ 432,81 ; 3,50 ; R$ 15,15 ; R$ 417,66 ;14,25;59,52;358,14;10;35,81
Mahogany;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Mahogany;28.269.178/0001-51;Sul América Companhia de Seguro Saúde;Odonto;12,00;11/2023;Comissão; R$ 1.641,20 ;10; R$ 164,12 ; 3,50 ; R$ 5,74 ; R$ 158,38 ;14,25;22,57;135,81;10;13,58
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Closeup;02.210.084/0001-13;Prudential;Vida;11,00;01/11/2023;Comissão; R$ 13,93 ;0,20; R$ 2,79 ;0,04; R$ 0,10 ; R$ 2,69 ;0,14;0,38;2,31;0,10;0,23
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Closeup;02.210.084/0001-13;Prudential;Vida;11,00;01/11/2023;Comissão; R$ 396,92 ;0,20; R$ 79,38 ;0,04; R$ 2,78 ; R$ 76,61 ;0,14;10,92;65,69;0,10;6,57
Coremal;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Coremal;10.793.008/0001-06;CNU;Saúde;1,00;01/10/2023;Agenciamento; R$ 217.329,34 ;0,50; R$ 108.664,67 ;0,07; R$ 7.063,20 ; R$ 101.601,47 ;0,14;14.478,21;87.056,59;0,10;8.705,66
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Wiler Kar;04.539.316/0001-07;Metlife;Odonto;10,00;01/10/2023;Comissão; R$ 5.920,44 ;0,10; R$ 592,04 ;0,07; R$ 38,48 ; R$ 553,56 ;0,14;78,88;474,68;0,10;47,47
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;8,00;01/10/2023;Comissão; R$ 575,04 ;0,10; R$ 57,50 ;0,07; R$ 3,74 ; R$ 53,77 ;0,14;7,66;46,10;0,10;4,61
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;8,00;01/10/2023;Comissão; R$ 752,48 ;0,10; R$ 75,25 ;0,07; R$ 4,89 ; R$ 70,36 ;0,14;10,03;60,33;0,10;6,03
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;8,00;01/10/2023;Comissão; R$ 829,44 ;0,10; R$ 82,94 ;0,07; R$ 5,39 ; R$ 77,55 ;0,14;11,05;66,50;0,10;6,65
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;06.170.679/0001-43;GNDI;Saúde;1,00;01/10/2023;Comissão; R$ 10.943,39 ;0,04; R$ 437,74 ;0,07; R$ 28,45 ; R$ 409,28 ;0,14;58,32;350,96;0,10;35,10
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;8,00;01/10/2023;Comissão; R$ 17.022,42 ;0,05; R$ 851,12 ;0,04; R$ 29,79 ; R$ 821,33 ;0,14;117,04;704,29;0,10;70,43
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;8,00;01/10/2023;Comissão; R$ 398,96 ;0,05; R$ 19,95 ;0,04; R$ 0,70 ; R$ 19,25 ;0,14;2,74;16,51;0,10;1,65
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;8,00;01/10/2023;Comissão; R$ 782,65 ;0,05; R$ 39,13 ;0,04; R$ 1,37 ; R$ 37,76 ;0,14;5,38;32,38;0,10;3,24
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;8,00;01/10/2023;Comissão; R$ 28.644,95 ;0,05; R$ 1.432,25 ;0,04; R$ 50,13 ; R$ 1.382,12 ;0,14;196,95;1.185,17;0,10;118,52
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;8,00;01/10/2023;Comissão; R$ 18.021,02 ;0,05; R$ 901,05 ;0,04; R$ 31,54 ; R$ 869,51 ;0,14;123,91;745,61;0,10;74,56
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;8,00;01/10/2023;Comissão; R$ 398,96 ;0,05; R$ 19,95 ;0,04; R$ 0,70 ; R$ 19,25 ;0,14;2,74;16,51;0,10;1,65
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;8,00;01/10/2023;Comissão; R$ 782,65 ;0,05; R$ 39,13 ; 0,04 ; R$ 1,37 ; R$ 37,76 ;0,1425;5,381207906;32,38;0,1;3,24
Marshals;Nathalia Ferrite;Nathalia Ferrite;Consultor Interno;01/11/2023;Middle;Marshals;28.134.035/0001-32;Tokio;Vida;1,00;08/2023;Comissão; R$ 2.468,84 ;20,00; R$ 493,78 ;3,50; R$ 17,28 ; R$ 476,50 ;14,25;67,90;408,60;10,00;40,86
Marshals;Nathalia Ferrite;Nathalia Ferrite;Consultor Interno;01/11/2023;Middle;Marshals;28.134.035/0001-32;Tokio;Vida;1,00;08/2023;Agenciamento; R$ 2.387,88 ;50,00; R$ 1.193,94 ;3,50; R$ 41,79 ; R$ 1.152,15 ;14,25;164,18;987,97;10,00;98,79
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;4,00;01/10/2023;Comissão; R$ 53,20 ;0,05; R$ 2,66 ;0,02; R$ 0,04 ; R$ 2,62 ;0,14;0,37;2,24673575;0,1;0,224673575
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;4,00;01/10/2023;Comissão; R$ 4.806,62 ;0,05; R$ 240,33 ;0,02; R$ 3,60 ; R$ 236,73 ;0,14;33,73;202,992575;0,1;20,2992575
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;4,00;01/10/2023;Comissão; R$ 105.560,48 ;0,05; R$ 5.278,02 ;0,02; R$ 79,17 ; R$ 5.198,85 ;0,14;740,84;4458,016996;0,1;445,8016996
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;4,00;01/10/2023;Comissão; R$ 1.847,68 ;0,05; R$ 92,38 ;0,02; R$ 1,39 ; R$ 91,00 ;0,14;12,97;78,0309908;0,1;7,80309908
Ipam;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Small;Ipam;00.627.727/0001-01;Prudential;Vida;1,00;01/08/2023;Comissão; R$ 6.468,06 ;0,40; R$ 2.587,22 ;0,04; R$ 90,55 ; R$ 2.496,67 ;0,14;355,78;2140,89552;0,1;214,089552
Monteiro Rusu;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Small;Monteiro Rusu;24.814.369/0001-04;Omint;Saúde;4,00;01/10/2023;Comissão; R$ 107.308,18 ;0,01; R$ 1.073,08 ;0,07; R$ 69,75 ; R$ 1.003,33 ;0,14;142,97;860,3567467;0,1;86,03567467
Mimosa;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Small;Mimosa;48.193.726/0001-14;Metlife Odonto;Odonto;2,00;01/10/2023;Comissão; R$ 234,40 ;0,10; R$ 23,44 ;0,07; R$ 1,52 ; R$ 21,92 ;0,14;3,12;18,793313;0,1;1,8793313
Tutto;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Small;Tutto;10.468.193/0001-63;Metlife Odonto;Odonto;2,00;01/10/2023;Comissão; R$ 1.183,72 ;0,10; R$ 118,37 ;0,07; R$ 7,69 ; R$ 110,68 ;0,14;15,77;94,90623065;0,1;9,490623065
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Middle;Bobinex;60.936.085/0001-46;Amil;Saúde;2,00;01/10/2023;Agenciamento; R$ 24.746,14 ;0,50; R$ 12.373,07 ;0,02; R$ 185,60 ; R$ 12.187,47 ;0,14;1.736,72;10450,75891;0,1;1045,075891
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Middle;Bobinex;22.083.049/0001-98;Amil;Saúde;2,00;01/10/2023;Agenciamento; R$ 10.185,62 ;0,50; R$ 5.092,81 ;0,02; R$ 76,39 ; R$ 5.016,42 ;0,14;714,84;4301,578306;0,1;430,1578306
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/11/2023;Middle;Bobinex;21.435.954/0001-05;Amil;Saúde;2,00;01/10/2023;Agenciamento; R$ 1.388,87 ;0,50; R$ 694,44 ;0,02; R$ 10,42 ; R$ 684,02 ;0,14;97,47;586,5458423;0,1;58,65458423
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 1.666,35 ;2,00; R$ 33,33 ;3,50; R$ 1,17 ; R$ 32,16 ;14,25;4,58;27,58;10;2,76
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 390,45 ;2,00; R$ 7,81 ;3,50; R$ 0,27 ; R$ 7,54 ;14,25;1,07;6,47;10;0,65
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 2.221,80 ;2,00; R$ 44,44 ;3,50; R$ 1,56 ; R$ 42,88 ;14,25;6,11;36,77;10;3,67
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 2.117,25 ;2,00; R$ 42,35 ;3,50; R$ 1,48 ; R$ 40,87 ;14,25;5,82;35,05;10;3,51
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 1.171,35 ;2,00; R$ 23,43 ;3,50; R$ 0,82 ; R$ 22,61 ;14,25;3,22;19,39;10;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;2,00;11/2023;Comissão; R$ 780,90 ;2,00; R$ 15,62 ;3,50; R$ 0,55 ; R$ 15,07 ;14,25;2,15;12,92;10;1,29
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;3,00;11/2023;Comissão; R$ 780,90 ;2,00; R$ 15,62 ;3,50; R$ 0,55 ; R$ 15,07 ;14,25;2,15;12,92;10;1,29
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;2,00;11/2023;Agenciamento; R$ 1.110,90 ;100,00; R$ 1.110,90 ;3,50; R$ 38,88 ; R$ 1.072,02 ;14,25;152,76;919,26;10;91,93
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Sulamérica;Saúde;2,00;09/2023;Comissão; R$ 3.619,60 ;5,00; R$ 180,98 ;3,50; R$ 6,33 ; R$ 174,65 ;14,25;24,89;149,76;10;14,98
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 555,45 ;2,00; R$ 11,11 ;3,50; R$ 0,39 ; R$ 10,72 ;14,25;1,53;9,19;10;0,92
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 1.561,80 ;2,00; R$ 31,24 ;3,50; R$ 1,09 ; R$ 30,15 ;14,25;4,30;25,85;10;2,58
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 43.170,00 ;2,00; R$ 863,50 ;3,50; R$ 30,22 ; R$ 833,28 ;14,25;118,74;714,54;10;71,45
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;4,00;11/2023;Comissão; R$ 1.110,90 ;2,00; R$ 22,22 ;3,50; R$ 0,78 ; R$ 21,44 ;14,25;3,06;18,38;10;1,84
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;1,00;11/2023;Agenciamento; R$ 1.110,90 ;100,00; R$ 1.110,90 ;3,50; R$ 38,88 ; R$ 1.072,02 ;14,25;152,76;919,26;10;91,93
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;3,00;11/2023;Agenciamento; R$ 1.110,90 ;100,00; R$ 1.110,90 ;3,50; R$ 38,88 ; R$ 1.072,02 ;14,25;152,76;919,26;10;91,93
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Sulamérica;Saúde;2,00;09/2023;Comissão; R$ 4.826,20 ;5,00; R$ 241,31 ;3,50; R$ 8,45 ; R$ 232,86 ;14,25;33,18;199,68;10;19,97
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Sulamérica;Saúde;2,00;09/2023;Comissão; R$ 3.619,60 ;5,00; R$ 180,98 ;3,50; R$ 6,33 ; R$ 174,65 ;14,25;24,89;149,76;10;14,98
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Sulamérica;Saúde;2,00;09/2023;Comissão; R$ 2.413,00 ;5,00; R$ 120,65 ;3,50; R$ 4,22 ; R$ 116,43 ;14,25;16,59;99,84;10;9,98
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;1,00;11/2023;Comissão; R$ 780,90 ;2,00; R$ 15,62 ;3,50; R$ 0,55 ; R$ 15,07 ;14,25;2,15;12,92;10;1,29
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Sulamérica;Saúde;2,00;09/2023;Comissão; R$ 4.826,20 ;5,00; R$ 241,31 ;3,50; R$ 8,45 ; R$ 232,86 ;14,25;33,18;199,68;10;19,97
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Lemasa;21.571.621/0001-03;Sulamérica;Odonto;4,00;11/2023;Comissão; R$ 4.314,00 ;10,00; R$ 431,40 ;2,00; R$ 8,63 ; R$ 422,77 ;14,25;60,24;362,53;10;36,25
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Lemasa;21.571.621/0001-03;Sulamérica;Saúde;4,00;11/2023;Comissão; R$ 16.505,00 ;5,00; R$ 825,25 ;3,50; R$ 28,88 ; R$ 796,37 ;14,25;113,48;682,89;10;68,28
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Lemasa;21.571.621/0001-03;Sulamérica;Saúde;4,00;11/2023;Comissão; R$ 8.022,40 ;5,00; R$ 401,12 ;3,50; R$ 14,04 ; R$ 387,08 ;14,25;55,16;331,92;10;33,19
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Lemasa;21.571.621/0001-03;Sulamérica;Saúde;4,00;11/2023;Comissão; R$ 110.603,20 ;5,00; R$ 5.530,16 ;3,50; R$ 193,56 ; R$ 5.336,60 ;14,25;760,47;4576,13;10;457,62
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Sulamérica;Odonto;2,00;09/2023;Comissão; R$ 240,70 ;10,00; R$ 24,07 ;3,50; R$ 0,84 ; R$ 23,23 ;14,25;3,31;19,92;10;1,99
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 1.561,80 ;2,00; R$ 31,24 ;3,50; R$ 1,09 ; R$ 30,15 ;14,25;4,30;25,85;10;2,58
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 1.561,80 ;2,00; R$ 31,24 ;3,50; R$ 1,09 ; R$ 30,15 ;14,25;4,30;25,85;10;2,58
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 390,45 ;2,00; R$ 7,81 ;3,50; R$ 0,27 ; R$ 7,54 ;14,25;1,07;6,47;10;0,65
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 3.453,60 ;2,00; R$ 69,08 ;3,50; R$ 2,42 ; R$ 66,66 ;14,25;9,50;57,16;10;5,72
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 555,45 ;2,00; R$ 11,11 ;3,50; R$ 0,39 ; R$ 10,72 ;14,25;1,53;9,19;10;0,92
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;4,00;11/2023;Comissão; R$ 1.171,35 ;2,00; R$ 23,43 ;3,50; R$ 0,82 ; R$ 22,61 ;14,25;3,22;19,39;10;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;4,00;11/2023;Comissão; R$ 1.952,25 ;2,00; R$ 39,05 ;3,50; R$ 1,37 ; R$ 37,68 ;14,25;5,37;32,31;10;3,23
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 6.186,75 ;2,00; R$ 123,75 ;3,50; R$ 4,33 ; R$ 119,42 ;14,25;17,02;102,4;10;10,24
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;5,00;11/2023;Comissão; R$ 1.110,90 ;2,00; R$ 22,22 ;3,50; R$ 0,78 ; R$ 21,44 ;14,25;3,06;18,38;10;1,84
Intrabank;Thamires Rosa;Thamires Rosa;Consultor Interno;01/11/2023;Middle;Intrabank;42.621.928/0001-33;Allianz;Saúde;1,00;09/2023;Comissão; R$ 53.418,95 ;3,00; R$ 1.602,57 ;0,00; R$ -   ; R$ 1.602,57 ;14,25;228,37;1374,2;10;137,42
Intrabank;Thamires Rosa;Thamires Rosa;Consultor Interno;01/11/2023;Middle;Intrabank;42.621.928/0001-33;Bradesco;Odonto;1,00;11/2023;Comissão; R$ 4.484,68 ;100,00; R$ 4.484,68 ;1,50; R$ 67,27 ; R$ 4.417,41 ;14,25;629,48;3787,93;10;378,79
Isar Engenharia;Thamires Rosa;Thamires Rosa;Consultor Interno;01/11/2023;Middle;Isar Engenharia;67.669.424/0001-14;tokio;Vida;4,00;09/2023;Comissão; R$ 2.225,46 ;20,00; R$ 445,09 ;2,00; R$ 8,90 ; R$ 436,19 ;14,25;62,16;374,03;10;37,4
Inc Spa;Thamires Rosa;Thamires Rosa;Consultor Interno;01/11/2023;Small;Inc Spa;37.652.454/0001-57;Bradesco;Saúde;1,00;11/2023;Agenciamento; R$ 19.305,69 ;100,00; R$ 19.305,69 ;3,50; R$ 675,70 ; R$ 18.629,99 ;14,25;2.654,77;15975,22;20;3195,04
